"","Test.kidney.2","Control.kidney.1","Control.lung.1","Test.lung.1","Test.lung.2","Control.lung.2","Control.liver.1","Test.liver.2","Test.liver.1","Control.liver.2"
"2210409D07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2210409E12Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2210414B05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2210416O15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2210417A02Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2300002M23Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2300003K06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2300005B03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310002D06Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310002J15Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310002L09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310005E17Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310007L24Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310008N11Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310016D03Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310020H05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310030A07Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310034C09Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
"2310034O05Rik",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
